Age,Gender,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
28,Male,Travel_Rarely,Research & Development,18,1,Other,4,2,1,Human Resources,3,Single,3022.0,2,Yes,21,4,4,3,9,1,1,2,0,1,0,Yes
41,Female,Non-Travel,Sales,7,4,Medical,1,1,2,Sales Representative,1,Divorced,7096.0,7,No,25,3,1,2,18,3,1,13,12,1,13,No
53,Male,Travel_Frequently,Research & Development,19,5,Marketing,4,2,5,Manufacturing Director,3,Single,15134.0,4,Yes,12,3,1,0,31,6,1,24,22,2,22,Yes
57,Male,Travel_Rarely,Research & Development,28,3,Technical Degree,4,4,5,Human Resources,4,Married,16496.0,5,No,19,3,2,1,36,4,3,35,35,3,31,No
41,Female,Non-Travel,Research & Development,10,4,Human Resources,2,3,1,Manager,4,Single,6195.0,1,No,20,3,3,3,19,2,1,18,15,2,18,No
20,Female,Travel_Rarely,Research & Development,27,5,Medical,4,1,5,Sales Executive,1,Married,11395.0,3,No,11,3,2,1,0,2,2,0,0,0,0,No
39,Male,Travel_Rarely,Research & Development,13,2,Marketing,2,3,5,Human Resources,3,Single,15014.0,0,No,18,3,2,2,17,4,4,14,14,3,12,No
19,Male,Travel_Rarely,Research & Development,2,2,Medical,2,1,4,Sales Representative,3,Single,8540.0,3,No,22,3,4,2,0,2,4,0,0,0,0,No
41,Female,Travel_Rarely,Sales,22,4,Life Sciences,4,2,3,Manager,2,Married,9324.0,0,No,15,3,1,0,23,6,4,20,20,2,18,No
47,Male,Travel_Rarely,Research & Development,27,1,Medical,3,1,5,Manager,1,Single,15661.0,3,Yes,12,3,3,2,28,5,4,27,25,0,27,No
55,Female,Travel_Rarely,Research & Development,20,1,Other,1,3,4,Manufacturing Director,4,Married,13857.0,1,No,18,3,2,0,33,4,2,27,24,4,27,No
19,Male,Travel_Frequently,Research & Development,28,4,Marketing,4,1,2,Manufacturing Director,4,Single,4690.0,5,Yes,15,3,3,1,0,4,4,0,0,0,0,No
38,Male,Travel_Rarely,Sales,11,1,Medical,4,3,5,Laboratory Technician,1,Single,13556.0,5,No,20,3,4,3,16,1,2,14,14,2,14,No
50,Female,Travel_Frequently,Research & Development,5,1,Technical Degree,3,3,2,Research Director,4,Single,8464.0,7,No,25,3,2,3,30,0,2,26,25,1,22,No
29,Female,Travel_Rarely,Sales,6,2,Life Sciences,2,2,5,Research Director,1,Married,12676.0,8,No,24,3,1,0,10,1,4,8,6,2,7,No
39,Male,Non-Travel,Research & Development,3,1,Life Sciences,3,4,1,Research Scientist,4,Single,5926.0,7,No,20,3,2,3,19,2,4,17,15,2,13,No
42,Male,Travel_Frequently,Research & Development,1,1,Medical,3,4,4,Healthcare Representative,4,Single,13218.0,0,No,23,3,4,0,23,0,4,22,22,2,20,No
44,Male,Non-Travel,Research & Development,3,4,Other,2,1,4,Human Resources,1,Divorced,11959.0,2,No,24,3,2,0,24,4,2,22,20,4,18,No
59,Male,Travel_Rarely,Research & Development,3,1,Life Sciences,4,3,1,Human Resources,1,Divorced,7958.0,5,No,13,3,4,1,37,2,3,30,28,0,27,No
45,Female,Travel_Rarely,Sales,22,3,Medical,3,2,3,Sales Representative,4,Married,11379.0,0,Yes,17,3,2,1,23,3,2,18,17,1,18,No
33,Male,Travel_Rarely,Research & Development,4,3,Medical,3,4,4,Manufacturing Director,4,Married,10629.0,7,No,14,4,3,2,15,2,3,15,14,4,12,No
32,Male,Travel_Rarely,Research & Development,7,4,Life Sciences,4,2,2,Manufacturing Director,2,Married,5165.0,5,No,21,3,1,0,9,0,4,6,6,0,3,No
20,Female,Travel_Rarely,Research & Development,29,3,Medical,4,2,4,Sales Representative,3,Married,9515.0,0,No,21,3,4,1,0,0,2,0,0,0,0,Yes
54,Female,Travel_Rarely,Research & Development,15,2,Medical,1,3,3,Laboratory Technician,1,Single,12107.0,1,Yes,20,4,3,0,33,4,4,27,27,3,27,Yes
24,Female,Travel_Rarely,Sales,11,4,Human Resources,3,1,2,Laboratory Technician,1,Single,4547.0,5,No,22,3,4,0,6,5,3,0,0,0,0,Yes
38,Male,Non-Travel,Research & Development,18,1,Technical Degree,1,3,2,Healthcare Representative,3,Married,5840.0,7,Yes,25,3,2,0,18,3,3,11,11,1,9,Yes
26,Female,Travel_Rarely,Research & Development,12,3,Medical,2,4,1,Manager,2,Married,3290.0,4,Yes,16,3,4,1,6,4,2,2,0,0,2,No
56,Female,Non-Travel,Human Resources,4,2,Human Resources,4,4,5,Research Director,4,Divorced,16323.0,0,Yes,20,3,4,0,38,3,2,31,31,1,30,No
35,Male,Travel_Rarely,Sales,24,4,Human Resources,4,2,1,Sales Executive,4,Married,2634.0,1,No,18,3,1,0,13,3,2,10,8,2,8,No
21,Female,Travel_Rarely,Sales,11,4,Medical,1,3,5,Sales Representative,2,Divorced,10532.0,3,No,11,3,3,2,1,4,2,0,0,0,0,No
42,Female,Travel_Rarely,Research & Development,6,1,Other,3,3,1,Research Director,2,Married,5742.0,3,No,12,3,2,0,20,6,1,18,15,1,18,Yes
31,Male,Travel_Frequently,Research & Development,26,5,Life Sciences,2,2,5,Healthcare Representative,3,Married,12814.0,6,Yes,24,3,1,2,13,2,1,9,9,2,6,Yes
26,Female,Travel_Frequently,Research & Development,19,3,Human Resources,3,1,4,Research Scientist,3,Single,10809.0,1,No,23,3,4,0,4,1,4,1,0,1,0,No
43,Male,Travel_Frequently,Human Resources,26,2,Human Resources,3,2,2,Manufacturing Director,4,Married,6121.0,6,No,18,3,1,2,24,3,3,19,19,0,15,No
19,Female,Travel_Rarely,Sales,28,4,Other,1,2,5,Manager,2,Divorced,12204.0,6,No,25,3,4,1,0,6,3,0,0,0,0,No
37,Female,Travel_Rarely,Sales,18,3,Marketing,3,4,4,Human Resources,2,Single,11040.0,6,No,17,3,2,1,17,0,4,12,11,1,9,No
45,Female,Travel_Rarely,Sales,15,2,Other,1,3,3,Research Scientist,4,Divorced,9460.0,2,No,20,4,4,3,22,4,4,17,17,4,17,Yes
24,Male,Travel_Rarely,Research & Development,3,2,Marketing,4,4,1,Manufacturing Director,4,Married,1254.0,5,No,19,4,1,0,3,5,4,1,0,1,0,No
25,Female,Non-Travel,Sales,17,4,Marketing,4,2,3,Healthcare Representative,4,Single,7469.0,5,No,12,3,1,3,3,6,1,0,0,0,0,No
52,Female,Non-Travel,Research & Development,1,3,Other,4,3,4,Research Director,4,Divorced,11956.0,3,No,18,3,4,3,32,2,4,32,30,1,28,No
31,Female,Travel_Rarely,Research & Development,2,2,Technical Degree,2,2,3,Research Director,4,Married,8686.0,0,No,16,3,3,2,9,6,3,6,5,4,2,No
34,Female,Travel_Frequently,Research & Development,19,4,Other,2,2,3,Research Scientist,3,Divorced,7488.0,8,No,25,3,1,1,15,3,4,13,11,1,12,No
53,Male,Travel_Rarely,Sales,29,3,Human Resources,3,1,4,Manager,4,Married,12830.0,1,No,11,3,3,0,35,5,2,30,28,1,30,No
57,Female,Travel_Rarely,Research & Development,9,3,Life Sciences,1,4,2,Manager,2,Divorced,8878.0,8,No,14,3,3,0,37,6,3,31,31,3,31,No
21,Female,Travel_Rarely,Research & Development,8,4,Other,3,4,5,Healthcare Representative,1,Married,10656.0,7,No,24,3,3,2,2,2,3,0,0,0,0,No
19,Female,Travel_Rarely,Research & Development,12,3,Technical Degree,4,2,1,Research Director,3,Divorced,3048.0,0,Yes,25,3,3,3,0,6,3,0,0,0,0,Yes
23,Female,Travel_Rarely,Research & Development,27,5,Other,3,1,5,Research Scientist,2,Single,12804.0,6,No,12,3,1,2,3,4,1,0,0,0,0,No
59,Male,Travel_Rarely,Research & Development,27,2,Technical Degree,3,2,1,Research Scientist,1,Married,7199.0,2,Yes,17,3,1,3,37,5,1,33,33,2,30,Yes
21,Male,Non-Travel,Human Resources,15,2,Life Sciences,3,2,5,Sales Representative,3,Married,10958.0,8,Yes,19,3,3,0,0,0,3,0,0,0,0,No
46,Male,Travel_Rarely,Sales,25,3,Medical,4,2,3,Human Resources,4,Divorced,11091.0,4,Yes,16,3,1,2,27,3,2,23,22,4,20,No
35,Female,Travel_Rarely,Research & Development,23,4,Technical Degree,1,1,2,Laboratory Technician,3,Married,6204.0,2,No,14,3,3,3,14,3,3,10,9,3,9,No
43,Male,Travel_Rarely,Research & Development,7,1,Technical Degree,3,3,3,Sales Representative,4,Single,10606.0,7,No,15,3,3,2,24,5,1,19,16,0,17,No
51,Male,Travel_Frequently,Research & Development,21,3,Human Resources,4,1,2,Laboratory Technician,4,Divorced,8596.0,2,No,21,3,3,1,28,2,2,24,24,2,20,No
27,Male,Travel_Rarely,Sales,16,1,Technical Degree,2,2,4,Manager,4,Divorced,9322.0,6,No,11,3,4,2,5,4,3,4,4,4,3,No
53,Female,Travel_Frequently,Research & Development,7,3,Life Sciences,1,3,1,Laboratory Technician,1,Divorced,5572.0,6,No,23,3,2,0,31,6,1,28,28,2,25,Yes
31,Female,Travel_Rarely,Sales,20,1,Marketing,4,2,1,Sales Executive,3,Single,3834.0,6,No,14,3,1,2,10,6,2,7,4,1,5,No
48,Male,Travel_Rarely,Research & Development,21,3,Technical Degree,3,1,4,Manager,4,Single,14013.0,0,No,23,3,1,0,29,1,4,24,24,2,23,No
32,Female,Travel_Rarely,Sales,12,4,Life Sciences,4,1,5,Laboratory Technician,2,Married,11800.0,4,No,20,3,3,0,10,3,4,9,6,2,7,No
25,Female,Travel_Rarely,Research & Development,17,1,Human Resources,1,3,4,Sales Executive,3,Divorced,7329.0,0,Yes,13,3,4,2,2,6,3,0,0,0,0,Yes
31,Female,Travel_Rarely,Research & Development,11,5,Human Resources,3,1,4,Healthcare Representative,2,Single,10162.0,6,No,19,3,4,2,11,0,4,9,6,1,6,No
40,Male,Travel_Rarely,Research & Development,4,4,Medical,2,2,2,Research Director,1,Married,9059.0,7,No,16,3,1,2,22,3,1,16,14,0,14,Yes
57,Female,Travel_Rarely,Research & Development,19,3,Technical Degree,2,3,4,Research Director,1,Single,15741.0,6,No,25,3,3,1,39,3,2,32,32,3,31,No
38,Female,Travel_Rarely,Sales,2,1,Marketing,2,4,1,Research Director,3,Single,4678.0,0,No,14,3,1,1,20,1,3,18,16,6,15,No
33,Male,Travel_Rarely,Sales,2,2,Life Sciences,4,2,3,Laboratory Technician,1,Single,9110.0,2,No,13,3,3,3,14,1,2,10,7,1,6,No
35,Female,Travel_Frequently,Research & Development,24,4,Medical,1,4,2,Research Director,1,Married,7052.0,2,No,22,3,3,2,14,4,2,14,13,2,11,No
41,Female,Travel_Frequently,Research & Development,17,1,Marketing,2,3,2,Manufacturing Director,3,Single,8591.0,6,No,25,3,2,3,19,6,2,17,15,2,14,Yes
43,Male,Travel_Frequently,Research & Development,24,4,Medical,3,3,5,Research Director,2,Single,13054.0,3,No,23,3,3,3,23,6,1,23,21,2,19,No
42,Male,Travel_Rarely,Research & Development,9,1,Marketing,3,2,3,Laboratory Technician,4,Single,8488.0,2,Yes,14,4,2,0,19,3,3,16,16,2,13,No
58,Female,Travel_Rarely,Research & Development,22,2,Other,3,1,2,Laboratory Technician,3,Divorced,8291.0,5,No,18,3,1,3,38,3,4,38,35,2,34,No
46,Female,Travel_Frequently,Research & Development,1,5,Other,4,2,4,Sales Executive,3,Single,11639.0,5,No,22,3,1,2,23,2,2,20,18,1,16,No
32,Female,Travel_Rarely,Research & Development,10,2,Other,1,1,2,Research Director,4,Divorced,7310.0,4,No,15,3,4,1,13,2,2,12,10,4,8,No
18,Male,Travel_Frequently,Research & Development,28,3,Medical,1,1,2,Research Director,2,Single,3896.0,5,No,23,3,2,3,0,6,2,0,0,0,0,Yes
42,Male,Travel_Frequently,Research & Development,23,4,Other,2,2,2,Human Resources,4,Divorced,6673.0,2,Yes,25,3,1,3,23,5,1,18,16,0,16,No
24,Female,Travel_Rarely,Research & Development,15,5,Life Sciences,1,3,5,Manager,4,Single,11654.0,4,Yes,21,3,2,1,3,5,4,0,0,0,0,No
26,Female,Travel_Rarely,Research & Development,21,4,Life Sciences,3,2,2,Research Scientist,2,Divorced,5377.0,8,No,11,3,1,3,5,0,2,1,0,1,0,No
41,Female,Non-Travel,Research & Development,15,1,Other,3,4,2,Sales Executive,2,Divorced,6185.0,3,No,15,3,2,2,18,6,1,16,16,3,14,No
18,Female,Travel_Frequently,Research & Development,25,3,Marketing,4,3,5,Research Director,4,Divorced,10545.0,1,No,18,3,2,3,0,6,1,0,0,0,0,No
25,Male,Travel_Frequently,Research & Development,23,3,Marketing,3,1,3,Manufacturing Director,4,Single,7186.0,4,Yes,21,3,3,0,3,6,2,0,0,0,0,No
41,Female,Travel_Rarely,Research & Development,21,4,Medical,1,3,1,Sales Representative,3,Married,5571.0,2,No,25,3,1,3,18,0,2,14,11,0,12,No
28,Male,Travel_Rarely,Research & Development,29,3,Marketing,3,2,5,Manufacturing Director,2,Divorced,11466.0,2,Yes,22,3,4,0,7,2,1,7,5,3,5,No
34,Male,Travel_Rarely,Sales,2,4,Technical Degree,2,3,5,Sales Executive,1,Divorced,12236.0,3,No,14,3,3,1,13,5,1,10,9,3,9,No
25,Male,Travel_Rarely,Sales,14,1,Marketing,4,1,2,Research Director,2,Divorced,6721.0,3,No,24,3,4,1,4,6,2,0,0,0,0,No
52,Female,Travel_Rarely,Research & Development,4,1,Life Sciences,4,1,2,Human Resources,4,Divorced,9103.0,4,No,12,3,2,3,33,0,1,32,30,0,28,No
52,Male,Travel_Frequently,Research & Development,18,4,Human Resources,1,3,1,Human Resources,4,Divorced,7074.0,6,No,23,3,3,3,31,3,1,26,25,3,26,No
50,Male,Travel_Rarely,Research & Development,9,2,Marketing,3,4,2,Human Resources,4,Married,9484.0,3,Yes,25,3,2,1,30,5,2,28,25,2,28,No
22,Female,Travel_Rarely,Sales,2,2,Medical,3,1,4,Manufacturing Director,4,Single,7792.0,6,No,13,3,1,0,4,1,2,1,1,1,1,No
59,Female,Travel_Rarely,Research & Development,2,1,Marketing,1,4,2,Human Resources,1,Married,10083.0,8,No,24,3,1,1,38,5,3,35,35,1,31,No
56,Male,Travel_Rarely,Sales,18,5,Medical,1,1,2,Manufacturing Director,2,Single,7869.0,2,Yes,21,3,4,1,33,3,4,33,30,3,33,No
58,Female,Non-Travel,Research & Development,17,2,Technical Degree,2,3,4,Research Scientist,1,Married,14682.0,4,Yes,19,3,1,0,40,2,2,38,38,2,37,Yes
45,Male,Travel_Frequently,Research & Development,9,4,Other,1,1,1,Laboratory Technician,1,Single,7336.0,3,No,24,3,4,1,26,4,2,25,22,4,21,No
24,Female,Travel_Rarely,Research & Development,8,1,Technical Degree,3,4,4,Research Scientist,4,Divorced,8051.0,8,Yes,17,3,2,3,1,4,2,0,0,0,0,No
26,Male,Travel_Rarely,Research & Development,2,3,Life Sciences,2,4,5,Sales Executive,1,Single,10700.0,4,Yes,13,3,3,3,8,2,4,5,2,2,1,No
25,Male,Travel_Rarely,Sales,2,3,Human Resources,4,3,4,Manager,4,Single,10799.0,1,No,15,3,1,1,2,3,3,0,0,0,0,No
29,Female,Travel_Rarely,Sales,5,2,Technical Degree,3,4,3,Manufacturing Director,4,Divorced,7068.0,0,No,13,3,2,3,10,0,1,10,9,1,8,No
51,Female,Travel_Rarely,Sales,12,5,Technical Degree,4,4,5,Sales Representative,4,Divorced,14301.0,6,No,20,3,3,2,31,5,4,27,24,1,25,No
50,Female,Travel_Rarely,Sales,29,2,Life Sciences,4,3,2,Sales Representative,1,Single,10507.0,0,No,14,3,2,1,31,5,2,24,23,0,21,No
40,Male,Travel_Frequently,Sales,28,5,Life Sciences,4,1,5,Sales Executive,4,Single,13082.0,7,Yes,22,3,4,2,21,0,2,20,20,1,19,No
41,Male,Travel_Rarely,Research & Development,16,2,Other,3,3,1,Human Resources,1,Divorced,6380.0,8,No,18,3,2,1,18,4,3,13,11,2,9,No
54,Female,Travel_Rarely,Research & Development,14,3,Other,4,1,1,Research Director,2,Married,7247.0,6,Yes,24,3,4,1,32,6,3,30,27,3,26,No
52,Male,Travel_Rarely,Research & Development,20,5,Marketing,3,1,4,Sales Executive,4,Divorced,14606.0,8,No,13,3,4,2,31,6,3,28,27,5,26,No
57,Female,Non-Travel,Sales,2,3,Medical,4,1,5,Research Director,3,Single,16567.0,5,Yes,13,3,1,1,36,2,1,33,31,3,29,No
39,Male,Non-Travel,Research & Development,24,4,Life Sciences,1,2,2,Healthcare Representative,3,Single,8222.0,6,No,21,3,4,3,19,6,4,14,12,2,10,No
44,Male,Travel_Frequently,Human Resources,8,4,Technical Degree,1,1,1,Sales Executive,3,Single,4973.0,2,No,21,3,4,2,24,2,4,23,23,4,23,No
52,Female,Travel_Rarely,Sales,29,1,Technical Degree,3,3,2,Manufacturing Director,3,Divorced,8498.0,8,Yes,18,3,2,1,31,6,3,24,24,3,20,Yes
18,Female,Travel_Rarely,Research & Development,4,3,Other,4,3,3,Sales Representative,3,Divorced,4696.0,2,No,20,3,4,3,0,1,1,0,0,0,0,Yes
52,Male,Travel_Frequently,Research & Development,20,3,Medical,4,3,1,Healthcare Representative,1,Married,7725.0,5,Yes,23,3,4,2,31,4,4,28,26,1,26,No
54,Male,Travel_Frequently,Research & Development,9,1,Life Sciences,4,2,4,Laboratory Technician,2,Single,13978.0,3,No,20,3,2,2,32,2,2,25,22,1,24,No
31,Male,Travel_Rarely,Research & Development,20,4,Other,1,4,3,Manufacturing Director,1,Single,7343.0,8,No,17,3,3,3,11,1,2,10,8,4,9,No
20,Male,Travel_Rarely,Research & Development,26,4,Medical,4,2,5,Research Scientist,4,Divorced,9726.0,0,Yes,17,3,1,1,2,0,2,0,0,0,0,No
18,Female,Travel_Rarely,Research & Development,27,5,Life Sciences,4,3,2,Research Director,2,Single,4654.0,8,No,20,3,2,1,0,4,4,0,0,0,0,No
22,Female,Travel_Frequently,Research & Development,25,5,Technical Degree,3,3,1,Research Scientist,2,Married,4008.0,3,Yes,12,3,4,2,2,4,3,0,0,0,0,No
43,Female,Travel_Rarely,Sales,19,4,Technical Degree,4,4,3,Manager,2,Divorced,9926.0,4,No,22,3,2,0,23,2,2,21,18,2,19,No
31,Male,Travel_Rarely,Human Resources,2,2,Other,1,2,3,Sales Representative,2,Single,7807.0,0,No,17,4,3,1,12,2,3,9,8,1,7,No
56,Male,Non-Travel,Research & Development,16,3,Medical,4,3,1,Sales Representative,3,Divorced,6907.0,0,No,20,3,2,1,37,3,1,36,36,2,33,No
44,Male,Travel_Frequently,Research & Development,11,5,Technical Degree,1,1,5,Sales Executive,4,Divorced,15874.0,5,No,21,3,2,3,25,6,2,25,22,1,25,No
26,Male,Travel_Rarely,Research & Development,8,2,Medical,1,1,5,Research Director,2,Married,10749.0,0,Yes,20,3,2,0,3,0,1,1,0,1,0,Yes
32,Female,Travel_Rarely,Research & Development,12,5,Other,2,3,4,Human Resources,2,Divorced,10416.0,1,No,13,3,2,0,13,0,3,7,6,1,4,Yes
32,Female,Travel_Rarely,Sales,3,1,Marketing,1,1,5,Sales Representative,3,Single,13438.0,2,No,24,3,4,2,10,5,4,9,6,0,9,No
43,Female,Travel_Rarely,Research & Development,13,3,Medical,2,4,4,Research Director,1,Married,12674.0,6,Yes,17,3,2,3,22,1,3,21,19,2,20,Yes
59,Male,Travel_Rarely,Research & Development,2,5,Human Resources,2,3,3,Manufacturing Director,1,Divorced,12450.0,1,No,23,4,3,3,41,1,2,39,38,1,38,No
30,Female,Travel_Rarely,Research & Development,13,4,Medical,4,2,1,Research Director,1,Single,3071.0,4,No,14,3,2,1,10,3,2,10,10,2,8,Yes
49,Female,Travel_Rarely,Human Resources,27,1,Other,2,3,5,Laboratory Technician,4,Divorced,16369.0,8,No,23,3,2,2,27,5,3,21,21,3,17,No
56,Female,Travel_Rarely,Sales,8,1,Human Resources,3,4,4,Sales Executive,1,Divorced,13495.0,7,Yes,18,3,4,1,38,0,2,31,29,0,31,No
49,Female,Non-Travel,Sales,15,4,Marketing,1,2,3,Research Director,2,Married,10461.0,7,Yes,18,3,4,0,27,6,2,20,20,0,19,No
21,Male,Travel_Frequently,Research & Development,24,1,Technical Degree,3,4,5,Manager,3,Married,9645.0,1,No,16,3,2,3,0,6,1,0,0,0,0,No
47,Male,Travel_Rarely,Research & Development,21,3,Life Sciences,2,1,2,Human Resources,3,Married,9520.0,0,No,23,3,4,2,27,6,4,27,24,1,24,Yes
54,Female,Non-Travel,Sales,9,5,Other,4,1,3,Laboratory Technician,1,Married,11123.0,8,No,22,3,4,1,33,6,3,29,27,2,26,No
40,Female,Travel_Rarely,Research & Development,11,1,Life Sciences,1,1,5,Research Director,3,Single,13520.0,3,Yes,13,3,2,1,21,1,1,18,18,3,14,No
56,Female,Travel_Frequently,Sales,22,3,Marketing,3,4,3,Human Resources,2,Divorced,12145.0,8,No,16,3,4,0,33,0,2,31,31,2,30,No
32,Female,Travel_Rarely,Sales,21,4,Human Resources,4,4,1,Human Resources,1,Married,2567.0,6,No,16,4,1,3,11,6,1,6,4,3,4,Yes
60,Female,Travel_Frequently,Research & Development,28,5,Marketing,2,3,1,Sales Representative,2,Single,8322.0,5,Yes,13,3,1,0,37,0,4,31,30,3,30,No
46,Male,Travel_Rarely,Research & Development,3,4,Medical,4,2,1,Laboratory Technician,4,Married,5776.0,8,Yes,21,3,1,1,26,5,3,24,24,3,24,No
53,Female,Travel_Rarely,Research & Development,7,5,Life Sciences,3,2,2,Laboratory Technician,2,Divorced,8265.0,3,No,14,3,4,3,33,1,4,31,30,2,28,No
30,Female,Travel_Frequently,Sales,14,1,Life Sciences,4,4,1,Research Scientist,2,Married,2809.0,0,No,25,3,1,3,10,2,4,10,10,0,10,No
49,Female,Travel_Rarely,Sales,15,1,Marketing,3,4,2,Sales Executive,2,Divorced,8434.0,4,No,12,4,3,0,31,2,1,28,28,2,24,No
24,Male,Travel_Rarely,Research & Development,9,5,Human Resources,4,1,1,Research Scientist,2,Divorced,1950.0,5,No,25,3,1,3,1,5,1,0,0,0,0,No
39,Male,Travel_Rarely,Research & Development,20,3,Life Sciences,1,4,3,Healthcare Representative,4,Single,8221.0,5,No,11,3,3,0,18,1,4,11,11,2,9,No
45,Male,Travel_Rarely,Research & Development,11,3,Technical Degree,4,1,5,Sales Executive,1,Married,14865.0,0,Yes,12,3,4,3,24,3,2,23,20,3,20,No
19,Male,Travel_Rarely,Sales,7,3,Marketing,1,4,5,Manufacturing Director,2,Married,9898.0,6,No,17,3,1,3,0,4,3,0,0,0,0,Yes
59,Male,Travel_Rarely,Research & Development,12,2,Medical,3,2,1,Sales Executive,1,Divorced,5621.0,7,No,20,3,3,2,37,5,2,35,34,2,34,No
23,Female,Travel_Rarely,Sales,19,3,Medical,1,3,5,Research Director,3,Married,12878.0,4,No,15,3,4,3,1,0,2,0,0,0,0,No
45,Female,Travel_Rarely,Research & Development,27,1,Medical,4,4,1,Healthcare Representative,2,Divorced,6128.0,1,Yes,19,3,1,1,25,5,3,18,18,0,14,Yes
45,Male,Non-Travel,Sales,18,2,Life Sciences,1,1,1,Manufacturing Director,2,Single,7609.0,1,No,13,3,2,2,24,4,1,21,20,2,20,No
37,Male,Travel_Rarely,Research & Development,13,3,Marketing,3,3,4,Laboratory Technician,3,Married,9961.0,4,No,12,3,1,0,14,5,2,8,5,3,7,No
47,Male,Travel_Rarely,Research & Development,11,1,Medical,4,1,4,Human Resources,1,Divorced,13282.0,6,No,25,4,1,1,27,1,1,21,19,1,19,No
28,Female,Travel_Rarely,Research & Development,1,2,Marketing,1,1,4,Manager,4,Married,11105.0,6,No,14,4,1,0,10,0,3,5,3,1,2,No
45,Male,Travel_Frequently,Research & Development,6,1,Life Sciences,1,3,2,Sales Executive,2,Married,7680.0,3,No,12,3,2,0,23,4,2,23,22,4,22,No
42,Male,Travel_Frequently,Sales,21,5,Technical Degree,2,3,4,Research Director,3,Single,10800.0,2,No,21,3,3,1,22,6,1,19,19,1,15,No
56,Male,Travel_Rarely,Research & Development,2,1,Technical Degree,1,3,1,Research Scientist,3,Divorced,7362.0,8,No,17,3,3,0,36,2,1,33,33,2,33,No
50,Female,Non-Travel,Sales,13,2,Technical Degree,2,4,3,Human Resources,2,Single,11964.0,6,No,20,3,2,2,32,3,2,32,29,0,29,No
18,Male,Travel_Frequently,Research & Development,13,3,Life Sciences,3,3,4,Sales Representative,1,Single,9329.0,1,Yes,16,4,1,1,0,5,3,0,0,0,0,Yes
44,Female,Travel_Frequently,Research & Development,19,2,Medical,2,4,4,Laboratory Technician,1,Single,12249.0,0,No,18,3,1,0,23,5,4,17,14,3,16,No
30,Female,Travel_Rarely,Research & Development,9,3,Life Sciences,3,2,3,Manufacturing Director,2,Divorced,8458.0,1,No,23,3,1,0,7,4,1,1,0,1,0,No
58,Female,Travel_Rarely,Sales,19,3,Marketing,1,2,1,Laboratory Technician,3,Divorced,8815.0,2,No,15,3,3,3,39,3,3,32,31,2,29,No
20,Female,Travel_Rarely,Research & Development,23,4,Technical Degree,1,1,2,Manager,2,Married,3929.0,4,No,12,3,3,3,0,5,2,0,0,0,0,Yes
56,Female,Travel_Rarely,Research & Development,1,5,Marketing,2,1,4,Human Resources,4,Divorced,12832.0,2,No,23,3,2,0,36,2,1,34,31,3,30,No
23,Male,Travel_Rarely,Research & Development,23,4,Life Sciences,3,4,3,Human Resources,4,Single,7521.0,8,Yes,14,3,4,1,5,4,1,2,0,1,0,No
